index,상호명,상권업종소분류명,시도명,시군구명,행정동명,지번주소,도로명주소,층정보,경도,위도
6825,GS25,편의점,서울특별시,은평구,불광1동,서울특별시 은평구 불광동 634번지 은혜스카이빌 ,"서울특별시 은평구 불광로13가길 7-3, (불광동, 은혜스카이빌)",1,126.9313939,37.61844379
6826,GS25,편의점,서울특별시,영등포구,문래동,서울특별시 영등포구 문래동5가 5-8번지 ,"서울특별시 영등포구 선유로 1, (문래동5가)",,126.8872244,37.51447061
6827,GS25,편의점,서울특별시,마포구,서강동,서울특별시 마포구 창전동 1-10번지 ,"서울특별시 마포구 서강로13길 19, (창전동)",1,126.9327485,37.55374371
6828,GS25,편의점,서울특별시,성북구,정릉4동,서울특별시 성북구 정릉동 403-18번지 ,"서울특별시 성북구 보국문로 40, (정릉동)",,127.0102451,37.60812987
6829,GS25가든파이브점,편의점,서울특별시,송파구,문정2동,서울특별시 송파구 문정동 634번지 ,"서울특별시 송파구 충민로 66, (문정동)",1,127.124941,37.47760822
6830,GS25망원하늘점,편의점,서울특별시,마포구,망원2동,서울특별시 마포구 망원동 421-30번지 ,"서울특별시 마포구 망원로3길 8, (망원동)",1,126.9016886,37.55713509
6831,CU사당태양점,편의점,서울특별시,동작구,사당2동,서울특별시 동작구 사당동 71-2번지 ,"서울특별시 동작구 동작대로35길 25, (사당동)",1,126.9808751,37.49107753
6832,세븐일레븐,편의점,서울특별시,강동구,강일동,서울특별시 강동구 강일동 674번지 강일리버파크3단지 ,"서울특별시 강동구 아리수로93길 40, (강일동, 강일리버파크3단지)",1,127.1750905,37.56542597
6833,GS25,편의점,서울특별시,서대문구,홍은2동,서울특별시 서대문구 홍은동 401-18번지 ,"서울특별시 서대문구 거북골로 20, (홍은동)",,126.9251205,37.58052542
6834,CU첨단산업센터점,편의점,서울특별시,마포구,상암동,서울특별시 마포구 상암동 1580번지 ,"서울특별시 마포구 성암로 330, (상암동)",1,126.885427,37.58506792
6835,세븐일레븐소공점,편의점,서울특별시,중구,소공동,서울특별시 중구 소공동 28번지 ,"서울특별시 중구 남대문로7길 11, (소공동)",1,126.9812338,37.56367803
6836,세븐일레븐,편의점,서울특별시,중구,회현동,서울특별시 중구 회현동1가 94-2번지 ,"서울특별시 중구 퇴계로10길 8, (회현동1가)",,126.980098,37.5589828
6837,GS25편의점,편의점,서울특별시,은평구,신사2동,서울특별시 은평구 신사동 222-1번지 ,"서울특별시 은평구 은평터널로 192, (신사동)",1,126.9088937,37.59545984
6838,CU,편의점,서울특별시,동대문구,답십리2동,서울특별시 동대문구 답십리동 29-60번지 ,"서울특별시 동대문구 답십리로48길 82, (답십리동)",1,127.0575246,37.56911429
6839,GS25,편의점,서울특별시,중구,명동,서울특별시 중구 다동 155번지 ,"서울특별시 중구 남대문로9길 40, (다동)",1,126.9803492,37.56713039
6840,로그인24시,편의점,서울특별시,동대문구,이문1동,서울특별시 동대문구 이문동 82-13번지 ,"서울특별시 동대문구 휘경로 29-5, (이문동)",,127.0633197,37.59538082
6841,Withme,편의점,서울특별시,강서구,화곡2동,서울특별시 강서구 화곡동 848-23번지 ,"서울특별시 강서구 곰달래로 220, (화곡동)",1,126.8573738,37.53148554
6842,CU수유번동점,편의점,서울특별시,강북구,번1동,서울특별시 강북구 번동 461-80번지 ,"서울특별시 강북구 한천로132길 10, (번동)",1,127.0287184,37.63941417
